uw_price,uw_rank,socre,Underwriter Name,Rank8084,Rank8591,Rank9200,Rank0104,Rank0507,Rank0809,Rank1011,Rank1217,Rank1820,Unnamed: 10
Freidman Billing Ramsey,Friedman Billings Ramsey & Co,88,Friedman Billings Ramsey & Co,-9.0,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,,,
BB&T Capital Markets,BB&T Capital Markets,100,BB&T Capital Markets,-9.0,-9.0,7.001,7.001,6.001,6.001,6.001,-9.0,-9.0,
 RAYMOND JAMES,Raymond James & Associates Inc,100,Raymond James & Associates Inc,4.0,5.625,7.001,7.001,7.001,7.001,7.001,7.501,7.501,
" Bryan, Garnier","Gaines, Berland",67,"Gaines, Berland",-9.0,4.001,2.001,-9.0,-9.0,-9.0,-9.0,,,
 Baird,Robert W Baird & Co Inc,100,Robert W Baird & Co Inc,6.5,5.75,7.001,7.001,7.001,7.001,-9.0,,,
Allen,Allen C. Ewing,100,Allen C. Ewing,5.001,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 Chardan,"Chardan Capital Markets, LLC",100,"Chardan Capital Markets, LLC",-9.0,-9.0,-9.0,-9.0,2.001,2.001,3.001,3.001,4.001,
 J.P. MorganSandle,Morgan Stanley,73,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
National Securities Corporation,RAS Securities Corporation,92,RAS Securities Corporation,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
China International,China International Capital Corp (CICC),100,China International Capital Corp (CICC),-9.0,-9.0,7.001,8.001,8.001,8.001,8.001,8.001,8.501,
 The Huntington Investment Company,Orians Investment,74,Orians Investment,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,
Morgan Stanle,Morgan Stanley,96,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
UBS Warburg ,UBS,100,UBS,-9.0,-9.0,-9.0,8.001,-9.0,-9.0,8.501,,,
Stephens,"Robertson, Colman & Stephens",100,"Robertson, Colman & Stephens",5.001,8.75,-9.0,-9.0,-9.0,-9.0,-9.0,,,
FIG Partners,Utendahl Capital Partners,80,Utendahl Capital Partners,-9.0,-9.0,6.001,-9.0,-9.0,-9.0,-9.0,,,
 Banc of America Securities,Banc of America Securities LLC,100,Banc of America Securities LLC,-9.0,-9.0,8.001,8.001,8.001,8.001,-9.0,,,
I-Bankers Securities,I-Bankers Securities Inc,100,I-Bankers Securities Inc,-9.0,-9.0,3.001,2.001,2.001,2.001,2.001,,,
 Ameriprise Financial Services,BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Sandler O’Neill & Partners,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
 Pacific Crest Securities,Pacific Crest Securities Inc,100,Pacific Crest Securities Inc,-9.0,-9.0,1.001,-9.0,-9.0,-9.0,-9.0,7.001,,
 Cantor,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Cantor Fitzgerald,"Cantor, Fitzgerald & Co., Inc.",100,"Cantor, Fitzgerald & Co., Inc.",-9.0,-9.0,6.001,6.001,6.001,6.001,6.001,6.001,6.001,
Citibank,KKR Capital,53,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
Merrill Lhnch,Merrill Lynch & Co Inc,73,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Sandler O’Neill,Sandler O'Neill Partners,100,Sandler O'Neill Partners,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
Merrill,Merrill Lynch White Weld Cptl,100,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Piper Jaffray,US Bancorp Piper Jaffray,100,US Bancorp Piper Jaffray,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
Piper,US Bancorp Piper Jaffray,100,US Bancorp Piper Jaffray,-9.0,-9.0,7.001,7.001,-9.0,-9.0,-9.0,,,
 Allen & Company,Baer & Company,80,Baer & Company,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 I-Bankers Securities,I-Bankers Securities Inc,100,I-Bankers Securities Inc,-9.0,-9.0,3.001,2.001,2.001,2.001,2.001,,,
Legand Merchant Group,Legend Merchant Group,95,Legend Merchant Group,-9.0,-9.0,-9.0,-9.0,3.001,3.001,-9.0,,,
Credit Siusse First Boston,Credit Suisse First Boston,96,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
Leerink Partners,Leerink-SVB,78,Leerink-SVB,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,7.001,
J..P. Morgan Securities,Wedbush Morgan Securities,89,Wedbush Morgan Securities,-9.0,5.0,5.001,-9.0,4.001,4.001,-9.0,6.001,,
Goldman Sachs (Asia) L.L.C.,Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
Donald,Donald & Co. Securities,100,Donald & Co. Securities,0.5,3.001,3.001,-9.0,-9.0,-9.0,-9.0,,,
Credit Suisse ,Credit Suisse First Boston,100,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
West Park Capital,West Park Capital,100,West Park Capital,-9.0,-9.0,4.001,-9.0,2.001,2.001,2.001,,,
 BofA Merrill Lych,Merrill Lynch & Co Inc,76,Merrill Lynch & Co Inc,-9.0,9.001,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
Lazard Capital Markets,Lazard,100,Lazard,-9.0,-9.0,9.001,9.001,-9.0,8.001,8.001,8.001,,
 Itau BBA ,Banco Itau-BBA,100,Banco Itau-BBA,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,,
BMO Capital Markets,BMO Capital Markets,100,BMO Capital Markets,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,
Leerink Swann,Leerink Swann & Co.,100,Leerink Swann & Co.,-9.0,-9.0,4.001,-9.0,-9.0,5.001,6.001,7.001,,
ThinkEquity (a division of Fordham Financial Management),BC Financial,86,BC Financial,-9.0,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
Donaldson Lufkin & Jenrette,Donaldson Lufkin & Jenrette,100,Donaldson Lufkin & Jenrette,7.0,8.75,9.001,-9.0,-9.0,-9.0,-9.0,,,
Alpha Finance,Alpha Finance US Corporation,100,Alpha Finance US Corporation,-9.0,-9.0,-9.0,5.001,-9.0,-9.0,-9.0,-9.0,-9.0,
Roth,Cruttenden Roth Inc,100,Cruttenden Roth Inc,-9.0,-9.0,3.001,-9.0,-9.0,-9.0,-9.0,,,
RBC,RBC Dominion Securities,100,RBC Dominion Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,,,
 Goldman Sach,Goldman Sachs & Co,86,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
" Keefe, Woods & Bruyette (A Stifel Company)",Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
WRHambrecht+Co,W.R. Hambrecht & Company,69,W.R. Hambrecht & Company,-9.0,-9.0,7.001,7.001,7.001,7.001,7.001,7.001,,
Casimir Capital,KKR Capital,78,KKR Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.001,8.001,
 Rodman & Renshaw,Rodman & Renshaw Inc,100,Rodman & Renshaw Inc,-9.0,5.5,2.001,-9.0,2.001,2.001,2.001,,,
EarlyBridCapital,Earlybirdcapital Inc,83,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
BB&T Capital,BB&T Capital Markets,100,BB&T Capital Markets,-9.0,-9.0,7.001,7.001,6.001,6.001,6.001,-9.0,-9.0,
Deutsche Bank Securities ,Deutsche Bank Securities Corp,100,Deutsche Bank Securities Corp,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,8.501,8.501,
 Zelman Partners LLC,Zelman,100,Zelman,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.501,,
 Morgan Stanle,Morgan Stanley,96,Morgan Stanley,-9.0,-9.0,-9.0,9.001,-9.0,-9.0,-9.0,,,
 J.P. Morga,J.T. Moran,78,J.T. Moran,-9.0,1.001,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Shenwan Hongyuan Securities,BA Securities,87,BA Securities,-9.0,-9.0,7.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,
 BofA Merrill Lynch,Merrill Lynch White Weld Cptl,84,Merrill Lynch White Weld Cptl,9.0,8.875,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 VALUABLE CAPITAL LIMITED,Valuable Capital,100,Valuable Capital,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,4.001,
Creidt Suisse First Boston,Credit Suisse First Boston,96,Credit Suisse First Boston,-9.0,-9.0,9.001,9.001,9.001,9.001,8.501,,,
C&Co,C&CO/PrinceRidge,100,C&CO/PrinceRidge,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,5.001,,
"Goldman, Sach",Goldman Sachs & Co,86,Goldman Sachs & Co,9.0,9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
ThinkPanmure,Hinkle & LaMear,56,Hinkle & LaMear,2.001,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,,
 Hovde Group,Shemano Group,67,Shemano Group,-9.0,-9.0,-9.0,4.001,-9.0,-9.0,-9.0,,,
J.P. Morgan,JP Morgan (JPM),87,JP Morgan (JPM),-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,9.001,
 Zelman Partners,Zelman,100,Zelman,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,6.501,,
 BoA Merrill Lynch,Bank of America-Merrill Lynch (BOA-Merrill),100,Bank of America-Merrill Lynch (BOA-Merrill),-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,8.501,8.501,8.501,
 Neidiger Tucker Bruner,"Neidiger, Tucker, Bruner Inc.",100,"Neidiger, Tucker, Bruner Inc.",3.001,2.5,3.001,3.001,-9.0,-9.0,-9.0,,,
Keefe Bruyette & Woods,Keefe Bruyette & Woods Inc,100,Keefe Bruyette & Woods Inc,-9.0,8.333,7.001,7.001,7.001,7.001,7.001,7.001,,merged with Stifel in 2013
Oppenhemier,CIBC Oppenheimer,74,CIBC Oppenheimer,-9.0,-9.0,8.001,8.001,8.001,8.001,7.501,7.501,7.501,
 Goldman Sachs,Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
Keefe Bruyette & Woods (A Stifel Company ),Stifel,100,Stifel,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,7.001,7.001,7.001,
"EarlyBirdCapital, Inc.",Earlybirdcapital Inc,100,Earlybirdcapital Inc,-9.0,-9.0,-9.0,1.001,2.001,3.001,4.001,4.001,5.001,
William Baird,William Blair & Co,83,William Blair & Co,5.0,7.875,7.001,7.001,7.001,7.001,7.001,7.001,,
Barclays Capial,Barclays Capital,97,Barclays Capital,-9.0,-9.0,-9.0,-9.0,8.001,8.001,8.001,8.001,8.001,
KeyBanc Capital Markets,KeyBanc Capital Markets ,100,KeyBanc Capital Markets ,-9.0,-9.0,-9.0,-9.0,5.001,5.001,6.001,6.001,,
Goldman Sachs (Asia),Goldman Sachs Asia,100,Goldman Sachs Asia,-9.0,-9.0,-9.0,9.001,9.001,9.001,9.001,9.001,9.001,
