Issuer,ASVI,mean_SVI,week_-9,week_-8,week_-7,week_-6,week_-5,week_-4,week_-3,week_-2,week_-1,week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,Trade_Date
Care.com,0.3600026836438177,66.625,67.0,50.0,59.0,61.0,58.0,48.0,79.0,92.0,86.0,100.0,88.0,79.0,75.0,71.0,81.0,67.0,76.0,75.0,80.0,2014-01-24
CareDx,0.4054649414415672,19.875,26.0,19.0,20.0,30.0,10.0,20.0,10.0,20.0,30.0,100.0,30.0,20.0,21.0,20.0,29.0,10.0,9.0,37.0,38.0,2014-07-17
Caribou Coffee,-0.18074796114759906,60.5,68.0,74.0,53.0,53.0,68.0,47.0,77.0,59.0,53.0,80.0,66.0,63.0,68.0,46.0,79.0,66.0,69.0,63.0,69.0,2005-09-28
Carolina National Bank,0.08338159154775049,51.875,41.0,40.0,67.0,96.0,61.0,51.0,13.0,37.0,50.0,38.0,56.0,48.0,92.0,24.0,12.0,46.0,57.0,45.0,45.0,2005-12-14
Carrols Restaurant Group,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-12-14
Carvana,0.24256159493904095,52.5,41.0,45.0,48.0,53.0,52.0,55.0,52.0,50.0,65.0,75.0,72.0,64.0,60.0,60.0,60.0,65.0,63.0,85.0,93.0,2017-04-28
Casa Systems,0.49643674656237824,33.25,16.0,11.0,28.0,26.0,33.0,33.0,61.0,28.0,46.0,100.0,67.0,34.0,50.0,45.0,32.0,27.0,40.0,59.0,32.0,2017-12-15
Cascade Microtech,0.48550773565350935,56.125,0.0,21.0,49.0,21.0,91.0,47.0,83.0,59.0,78.0,100.0,47.0,28.0,0.0,18.0,18.0,18.0,18.0,54.0,18.0,2004-12-14
Casper Sleep,0.312374595611284,31.5,39.0,26.0,25.0,30.0,30.0,42.0,30.0,28.0,41.0,100.0,57.0,40.0,36.0,25.0,22.0,22.0,33.0,27.0,27.0,2020-02-06
Castle Biosciences,0.3448401431548196,12.125,6.0,0.0,22.0,6.0,0.0,11.0,29.0,17.0,12.0,100.0,24.0,47.0,29.0,23.0,33.0,28.0,27.0,5.0,16.0,2019-07-25
Castle Brands,-0.7683702666527585,27.375,36.0,35.0,0.0,17.0,34.0,50.0,67.0,0.0,16.0,100.0,71.0,17.0,49.0,34.0,32.0,16.0,65.0,16.0,49.0,2006-04-05
CastlePoint Holdings,0.0,6.5,54.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,50.0,45.0,0.0,0.0,2007-03-22
Castlight Health,0.6061354247826807,15.25,12.0,9.0,9.0,10.0,24.0,22.0,12.0,14.0,22.0,100.0,59.0,24.0,14.0,20.0,15.0,17.0,14.0,18.0,12.0,2014-03-13
Catalent,0.10742022762045922,45.375,51.0,50.0,36.0,34.0,47.0,39.0,52.0,51.0,54.0,100.0,51.0,28.0,26.0,46.0,54.0,52.0,66.0,54.0,57.0,2014-07-31
Catalyst Pharmaceutical Partners,0.0,8.75,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006-11-07
CatchMark Timber Trust,-14.711598990684092,24.5,0.0,17.0,0.0,33.0,32.0,33.0,16.0,65.0,0.0,33.0,100.0,0.0,0.0,32.0,15.0,0.0,0.0,16.0,0.0,2013-12-12
Cavium Networks,0.7966876597989008,29.125,47.0,16.0,24.0,23.0,38.0,8.0,32.0,31.0,61.0,100.0,14.0,0.0,14.0,21.0,14.0,7.0,7.0,7.0,21.0,2007-05-01
Cbeyond Communications,1.0642106720957423,51.5,0.0,74.0,35.0,0.0,68.0,34.0,68.0,33.0,100.0,68.0,38.0,0.0,0.0,61.0,0.0,0.0,0.0,79.0,0.0,2005-11-01
Celanese,0.25714531449483413,66.25,53.0,89.0,84.0,64.0,33.0,82.0,23.0,69.0,86.0,85.0,51.0,55.0,100.0,79.0,68.0,40.0,48.0,48.0,23.0,2005-01-20
Celcuity,1.9459084347715583,17.125,0.0,0.0,5.0,10.0,5.0,41.0,5.0,36.0,35.0,100.0,35.0,20.0,10.0,15.0,5.0,20.0,5.0,5.0,5.0,2017-09-20
Celebrate Express,0.0,3.5,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,2004-10-19
Celladon,0.20763922054757566,11.5,17.0,0.0,17.0,17.0,9.0,9.0,0.0,24.0,16.0,39.0,41.0,47.0,16.0,100.0,31.0,40.0,31.0,23.0,8.0,2014-01-30
Cellcom Israel,0.8013606076910533,48.25,0.0,29.0,31.0,54.0,62.0,67.0,39.0,26.0,78.0,38.0,38.0,13.0,0.0,50.0,0.0,12.0,36.0,13.0,12.0,2007-02-05
Cellu Tissue Holdings,16.108045416114916,19.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,26.0,99.0,100.0,24.0,0.0,25.0,0.0,48.0,0.0,0.0,0.0,0.0,2010-01-22
Cellular Dynamics International,1.9661122420873691,31.875,14.0,14.0,27.0,14.0,14.0,14.0,29.0,43.0,100.0,42.0,14.0,28.0,14.0,0.0,14.0,0.0,26.0,13.0,40.0,2013-07-25
Centogene B.V.,16.118095750958314,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-11-07
Century Communities,-0.11122560415048088,37.125,38.0,31.0,56.0,40.0,31.0,26.0,41.0,38.0,34.0,45.0,35.0,28.0,42.0,35.0,35.0,45.0,32.0,62.0,61.0,2014-06-18
Cerecor,1.0262913286389654,29.5,22.0,32.0,11.0,10.0,21.0,20.0,52.0,30.0,60.0,100.0,30.0,20.0,10.0,0.0,30.0,10.0,20.0,40.0,0.0,2015-10-14
Ceres,0.02882043521279165,83.625,84.0,70.0,72.0,85.0,86.0,92.0,87.0,89.0,88.0,89.0,91.0,94.0,96.0,94.0,91.0,72.0,94.0,100.0,96.0,2012-02-21
Ceridian HCM Holding,0.0,6.25,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,100.0,50.0,50.0,0.0,77.0,0.0,51.0,25.0,25.0,25.0,2018-04-26
Cerulean Pharma,0.6931468775297804,15.375,17.0,25.0,0.0,8.0,0.0,17.0,16.0,24.0,33.0,100.0,17.0,17.0,0.0,17.0,8.0,0.0,19.0,0.0,9.0,2014-04-10
ChaSerg Technology Acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,51.0,0.0,0.0,0.0,0.0,0.0,2018-10-05
Change Healthcare,0.2767529668821691,71.75,71.0,71.0,70.0,65.0,68.0,66.0,65.0,78.0,91.0,100.0,57.0,82.0,63.0,77.0,78.0,66.0,82.0,83.0,85.0,2019-06-27
Changyou.com,15.123843647884687,8.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,19.0,37.0,100.0,13.0,13.0,12.0,6.0,6.0,0.0,6.0,6.0,6.0,2009-04-01
ChannelAdvisor,0.24116199188184062,34.0,25.0,28.0,24.0,32.0,37.0,34.0,34.0,41.0,42.0,100.0,41.0,53.0,31.0,49.0,30.0,33.0,43.0,28.0,32.0,2013-05-23
Charah Solutions,14.45736497045232,4.75,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,19.0,100.0,19.0,18.0,0.0,9.0,0.0,10.0,28.0,0.0,0.0,2018-06-14
Chardan Healthcare Acquisition,16.118095750958314,18.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,100.0,50.0,51.0,0.0,54.0,0.0,0.0,0.0,0.0,48.0,0.0,2018-12-14
Charm Communications,-13.997832948091215,24.625,0.0,0.0,24.0,0.0,26.0,0.0,74.0,73.0,0.0,100.0,25.0,0.0,26.0,77.0,0.0,26.0,25.0,0.0,0.0,2010-05-05
Chart Acquisition,0.20155288327724996,60.0,38.0,94.0,47.0,47.0,64.0,56.0,28.0,81.0,63.0,81.0,37.0,31.0,49.0,35.0,52.0,86.0,34.0,52.0,52.0,2012-12-14
Chart Industries,-0.2843871114168506,46.0,37.0,63.0,63.0,77.0,63.0,0.0,26.0,38.0,38.0,100.0,12.0,74.0,62.0,59.0,11.0,23.0,33.0,55.0,75.0,2006-07-25
Chatham Lodging Trust,15.226497775576945,10.25,0.0,0.0,0.0,0.0,20.0,0.0,0.0,21.0,41.0,100.0,59.0,61.0,61.0,0.0,20.0,41.0,21.0,0.0,62.0,2010-04-16
Check-Cap Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-02-19
Checkmate Pharmaceuticals,-12.899222326086994,6.875,4.0,16.0,0.0,0.0,4.0,4.0,9.0,22.0,0.0,100.0,17.0,30.0,9.0,25.0,9.0,13.0,8.0,9.0,0.0,2020-08-07
Cheetah Mobile,1.2431925687620837,13.125,5.0,5.0,10.0,5.0,20.0,10.0,3.0,26.0,26.0,86.0,40.0,34.0,31.0,50.0,71.0,54.0,51.0,63.0,48.0,2014-05-08
Chegg,-0.12260227192512918,26.5,46.0,34.0,30.0,27.0,25.0,25.0,24.0,24.0,23.0,27.0,24.0,15.0,27.0,37.0,52.0,22.0,36.0,66.0,81.0,2013-11-13
ChemoCentryx,0.3659341268159513,24.25,25.0,17.0,18.0,9.0,17.0,40.0,31.0,31.0,31.0,100.0,15.0,8.0,31.0,39.0,15.0,8.0,15.0,24.0,8.0,2012-02-08
Chemspec International,0.0,15.625,0.0,0.0,0.0,0.0,0.0,76.0,25.0,24.0,0.0,100.0,26.0,0.0,26.0,26.0,0.0,0.0,26.0,0.0,24.0,2009-06-24
Cherry Hill Mortgage Investment,0.0,2.625,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,100.0,60.0,0.0,20.0,20.0,0.0,20.0,0.0,0.0,0.0,2013-10-03
Chesapeake Granite Wash Trust,15.444751293772967,10.625,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,51.0,100.0,66.0,0.0,0.0,32.0,16.0,0.0,0.0,17.0,31.0,2011-11-11
Chesapeake Lodging Trust,0.0,10.75,0.0,22.0,21.0,43.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,38.0,19.0,0.0,39.0,20.0,2010-01-22
Chesapeake Midstream Partners,1.368902104191668,18.25,0.0,15.0,30.0,0.0,15.0,0.0,15.0,14.0,57.0,100.0,44.0,29.0,42.0,14.0,27.0,14.0,0.0,0.0,13.0,2010-07-29
Chewy,0.07145895121075485,55.75,53.0,56.0,54.0,61.0,54.0,53.0,54.0,56.0,58.0,80.0,69.0,63.0,59.0,63.0,64.0,57.0,59.0,60.0,60.0,2019-06-14
Chiasma,0.2939911771597483,42.0,42.0,39.0,51.0,40.0,51.0,36.0,28.0,38.0,53.0,48.0,33.0,32.0,26.0,29.0,31.0,32.0,28.0,43.0,42.0,2015-07-16
Chimera Investment,14.45736497045232,6.125,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,19.0,26.0,19.0,9.0,19.0,19.0,100.0,36.0,22.0,18.0,27.0,2007-11-15
Chimerix,1.4954924594520542,10.5,7.0,0.0,3.0,6.0,7.0,32.0,7.0,0.0,29.0,100.0,26.0,10.0,27.0,13.0,10.0,3.0,19.0,10.0,16.0,2013-04-11
China Century Dragon Media,15.687312888712007,12.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,65.0,100.0,0.0,0.0,0.0,0.0,33.0,33.0,65.0,33.0,0.0,2011-02-08
China Commercial Credit,0.6931467805601854,18.5,12.0,24.0,49.0,0.0,0.0,13.0,37.0,0.0,25.0,100.0,37.0,48.0,0.0,11.0,23.0,35.0,11.0,35.0,12.0,2013-08-13
China Electric Motor,-14.978661680269907,31.375,42.0,27.0,28.0,28.0,32.0,32.0,40.0,64.0,0.0,63.0,50.0,89.0,26.0,25.0,100.0,50.0,62.0,89.0,40.0,2010-01-29
China Finance Online,14.845130332288226,10.625,0.0,0.0,0.0,0.0,29.0,0.0,0.0,28.0,28.0,100.0,27.0,31.0,0.0,39.0,0.0,0.0,75.0,0.0,26.0,2004-10-14
China GrenTech,15.039286283703994,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,34.0,100.0,67.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,2006-03-29
China Growth Equity Investment,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,100.0,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2011-05-31
China Kanghui Holdings,15.732433317205148,12.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,68.0,100.0,66.0,0.0,0.0,32.0,62.0,0.0,0.0,30.0,60.0,2010-08-11
China Lodging Group,15.363073279446223,13.875,0.0,0.0,0.0,0.0,0.0,16.0,16.0,32.0,47.0,64.0,100.0,49.0,48.0,16.0,16.0,16.0,0.0,0.0,0.0,2010-03-26
China Medical Technologies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,24.0,23.0,23.0,0.0,0.0,0.0,2005-08-09
China Ming Yang Wind Power Group,0.0,2.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,100.0,51.0,51.0,17.0,0.0,0.0,48.0,0.0,33.0,0.0,2010-10-01
China New Borun,14.220976332738882,5.625,0.0,0.0,0.0,15.0,15.0,0.0,0.0,0.0,15.0,60.0,15.0,0.0,0.0,15.0,0.0,14.0,0.0,29.0,14.0,2010-06-11
China Online Education Group,14.731801689838349,9.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,25.0,100.0,97.0,74.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,2016-06-10
China Rapid Finance Limited,15.444751293772967,12.5,0.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,100.0,0.0,51.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,2017-04-28
China Real Estate Information,15.226497775576945,7.625,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,41.0,100.0,100.0,59.0,0.0,0.0,38.0,20.0,38.0,19.0,20.0,2009-10-16
China Sunergy,1.7917561359024994,5.25,6.0,0.0,0.0,0.0,0.0,5.0,11.0,11.0,15.0,100.0,35.0,20.0,20.0,0.0,5.0,10.0,25.0,5.0,15.0,2007-05-16
China Zenix Auto International,14.731801689838349,19.5,0.0,0.0,0.0,0.0,0.0,0.0,53.0,78.0,25.0,100.0,25.0,0.0,25.0,25.0,0.0,0.0,0.0,26.0,0.0,2011-05-12
ChinaEdu,14.603968372873895,9.75,0.0,0.0,0.0,12.0,11.0,0.0,0.0,33.0,22.0,100.0,35.0,14.0,26.0,0.0,11.0,10.0,0.0,0.0,0.0,2007-12-10
Chipotle Mexican Grill,0.47957278722177543,13.875,15.0,16.0,11.0,7.0,20.0,29.0,0.0,7.0,21.0,100.0,34.0,6.0,10.0,10.0,18.0,12.0,14.0,25.0,19.0,2006-01-25
Churchill Capital,0.06899284767743596,32.375,25.0,15.0,42.0,48.0,26.0,30.0,26.0,42.0,30.0,66.0,65.0,30.0,45.0,40.0,36.0,31.0,61.0,56.0,39.0,2018-09-07
Churchill Capital Corp II,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,100.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2019-06-27
Churchill Capital Corp IV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2020-07-30
Churchill Capital Corp. III,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2020-02-14
Cidara Therapeutics,1.6529221260292806,14.0,28.0,9.0,9.0,0.0,0.0,28.0,10.0,9.0,47.0,100.0,9.0,0.0,9.0,18.0,27.0,9.0,18.0,18.0,27.0,2015-04-15
Cinemark Holdings,15.623799493077954,7.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,19.0,0.0,2007-04-23
Citi Trends,1.9278905753715816,19.625,0.0,16.0,0.0,0.0,0.0,29.0,28.0,29.0,55.0,28.0,0.0,0.0,28.0,14.0,0.0,14.0,14.0,29.0,85.0,2005-05-17
Citizens Financial Group,1.7540182224423884,16.5,12.0,10.0,7.0,14.0,8.0,7.0,5.0,29.0,52.0,100.0,32.0,19.0,9.0,9.0,25.0,14.0,20.0,5.0,6.0,2014-09-24
City Office REIT,2.079440447930605,16.0,0.0,16.0,0.0,16.0,0.0,16.0,0.0,16.0,64.0,100.0,16.0,33.0,0.0,16.0,34.0,18.0,0.0,0.0,0.0,2014-04-15
Civitas Solutions,14.771022387607022,5.875,11.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,26.0,100.0,10.0,10.0,15.0,0.0,0.0,10.0,0.0,15.0,0.0,2014-09-17
Clayton Holdings,15.717618233614914,25.625,0.0,0.0,36.0,0.0,35.0,0.0,0.0,67.0,67.0,100.0,66.0,0.0,35.0,68.0,0.0,34.0,32.0,64.0,32.0,2006-03-23
Clean Energy Fuels,2.116254635284973,19.375,10.0,10.0,21.0,21.0,20.0,0.0,0.0,0.0,83.0,100.0,37.0,45.0,9.0,9.0,9.0,18.0,9.0,65.0,28.0,2007-05-24
Clear Channel Outdoor Holdings,16.118095750958314,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-11-10
ClearSign,-13.652992804936396,10.625,0.0,34.0,17.0,17.0,0.0,0.0,17.0,0.0,0.0,84.0,51.0,33.0,100.0,33.0,33.0,49.0,16.0,33.0,0.0,2012-04-25
Clearside Biomedical,1.9459093698349386,23.25,0.0,11.0,0.0,11.0,43.0,11.0,22.0,11.0,77.0,100.0,67.0,22.0,11.0,0.0,35.0,0.0,23.0,24.0,12.0,2016-06-02
Clearwire,0.08134562621242925,60.125,60.0,58.0,53.0,49.0,60.0,49.0,74.0,74.0,64.0,100.0,72.0,55.0,48.0,50.0,48.0,44.0,49.0,55.0,57.0,2007-03-07
Clementia Pharmaceuticals,1.3862935277871364,14.875,0.0,9.0,19.0,9.0,9.0,19.0,9.0,9.0,36.0,100.0,18.0,46.0,27.0,9.0,18.0,26.0,26.0,26.0,0.0,2017-08-02
Cloud Peak Energy,1.791755302573541,3.5,5.0,2.0,1.0,7.0,2.0,0.0,0.0,4.0,12.0,100.0,19.0,12.0,10.0,4.0,6.0,7.0,8.0,7.0,5.0,2009-11-20
Cloudera,0.20671298225189716,72.125,63.0,61.0,65.0,73.0,62.0,87.0,76.0,70.0,83.0,100.0,87.0,77.0,72.0,68.0,63.0,75.0,77.0,67.0,63.0,2017-04-28
Cloudflare,0.017391736662264456,29.375,30.0,29.0,27.0,27.0,38.0,29.0,28.0,28.0,29.0,40.0,35.0,40.0,35.0,32.0,30.0,31.0,27.0,31.0,29.0,2019-09-13
Clovis Oncology,0.15906459320987398,15.875,24.0,12.0,29.0,6.0,0.0,6.0,17.0,40.0,17.0,100.0,28.0,11.0,38.0,16.0,18.0,12.0,6.0,37.0,36.0,2011-11-16
ClubCorp Holdings,16.108045416114916,12.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,100.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2013-09-20
Cnova N.V.,0.0,12.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014-11-20
Co-Diagnostics,14.80876270134486,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,27.0,79.0,0.0,52.0,0.0,0.0,0.0,76.0,25.0,25.0,100.0,2017-07-12
CoLucid Pharmaceuticals,16.118095750958314,18.25,0.0,0.0,0.0,31.0,15.0,0.0,0.0,0.0,100.0,14.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,0.0,2015-05-06
CoTherix,14.557448378884015,5.625,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,20.0,24.0,41.0,30.0,23.0,0.0,19.0,0.0,59.0,2004-10-14
Coastal Financial,-0.23700053690374512,58.625,57.0,40.0,79.0,83.0,47.0,43.0,52.0,82.0,43.0,89.0,49.0,100.0,43.0,95.0,75.0,60.0,60.0,51.0,76.0,2018-07-18
Cobalt International Energy,1.0986116220018878,14.875,0.0,10.0,0.0,20.0,10.0,20.0,0.0,29.0,30.0,100.0,35.0,11.0,19.0,27.0,37.0,27.0,36.0,27.0,37.0,2009-12-16
Codexis,-0.4054648997749397,24.875,49.0,43.0,6.0,47.0,22.0,19.0,20.0,26.0,16.0,100.0,58.0,48.0,39.0,29.0,20.0,30.0,22.0,16.0,52.0,2010-04-22
Cogdell Spencer,0.0,7.125,75.0,0.0,0.0,0.0,29.0,0.0,0.0,28.0,0.0,83.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-10-26
Cogent Systems,1.2878538357206115,17.375,68.0,17.0,17.0,17.0,0.0,0.0,15.0,15.0,58.0,100.0,0.0,14.0,52.0,14.0,16.0,42.0,0.0,31.0,41.0,2004-09-23
Cohen & Steers,0.6931469305600388,22.125,19.0,57.0,0.0,20.0,20.0,0.0,20.0,20.0,40.0,0.0,19.0,18.0,18.0,35.0,34.0,33.0,50.0,50.0,20.0,2004-08-12
Coherus BioSciences,1.7757583367914243,31.125,0.0,42.0,0.0,0.0,21.0,42.0,0.0,82.0,62.0,100.0,60.0,61.0,0.0,59.0,41.0,83.0,23.0,44.0,19.0,2014-11-06
Cohn Robbins Holdings,0.0,9.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,58.0,19.0,0.0,19.0,20.0,20.0,0.0,0.0,0.0,0.0,2020-09-09
Coinmach Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,91.0,0.0,2004-11-18
Cold Spring Capital,0.0,7.75,0.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005-11-10
Coley Pharmaceutical Group,0.0,12.5,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,98.0,0.0,0.0,91.0,0.0,0.0,0.0,83.0,84.0,0.0,2005-08-09
Colfax,0.1187162880258894,61.0,57.0,72.0,54.0,53.0,63.0,64.0,53.0,62.0,67.0,92.0,95.0,100.0,56.0,64.0,60.0,50.0,55.0,57.0,49.0,2008-05-07
Collective Growth,0.36464299136572853,26.5,27.0,37.0,28.0,28.0,23.0,20.0,17.0,23.0,36.0,36.0,40.0,23.0,41.0,19.0,20.0,25.0,21.0,16.0,12.0,2020-05-01
Collegiate Funding Services,-1.184554184532451,42.375,36.0,25.0,0.0,89.0,49.0,12.0,100.0,51.0,13.0,30.0,63.0,64.0,64.0,62.0,99.0,35.0,46.0,11.0,11.0,2004-07-15
Collegium Pharmaceutical,1.5926301302762438,22.5,12.0,23.0,24.0,38.0,12.0,12.0,12.0,0.0,59.0,58.0,23.0,12.0,12.0,24.0,12.0,12.0,0.0,24.0,35.0,2015-05-07
Collier Creek Holdings,0.0,6.125,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,25.0,100.0,0.0,0.0,25.0,48.0,0.0,49.0,0.0,0.0,2018-10-05
Colonnade Acquisition,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2020-08-21
Colony Financial,-0.1133286424498765,25.0,37.0,28.0,28.0,9.0,0.0,17.0,34.0,59.0,25.0,100.0,33.0,33.0,16.0,16.0,39.0,8.0,15.0,15.0,8.0,2009-09-24
Color Kinetics,-1.145131817290245,39.375,100.0,15.0,44.0,56.0,43.0,28.0,44.0,71.0,14.0,73.0,30.0,30.0,17.0,30.0,30.0,74.0,29.0,43.0,27.0,2004-06-21
Columbia Equity Trust,15.424948670398354,12.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,50.0,100.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,45.0,2005-06-28
Columbia Pipeline Partners LP,14.346139397261567,4.25,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,17.0,100.0,33.0,17.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2015-02-06
Columbus Acquisition,16.001561947061912,11.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,90.0,88.0,90.0,0.0,0.0,2007-05-17
CombinatoRx,0.693146972226677,36.375,0.0,25.0,75.0,72.0,48.0,0.0,0.0,23.0,48.0,27.0,22.0,0.0,0.0,0.0,66.0,73.0,28.0,23.0,21.0,2005-11-08
CommScope Holding,16.056220353623207,29.25,0.0,0.0,0.0,46.0,47.0,47.0,0.0,0.0,94.0,92.0,0.0,45.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,2013-10-25
CommVault Systems,0.6351597904732147,35.625,0.0,0.0,38.0,38.0,0.0,36.0,35.0,71.0,67.0,100.0,98.0,0.0,0.0,64.0,0.0,0.0,30.0,30.0,31.0,2006-09-21
Commercial Vehicle Group,0.0,9.625,0.0,24.0,0.0,24.0,0.0,0.0,29.0,0.0,0.0,100.0,24.0,0.0,0.0,45.0,22.0,21.0,21.0,42.0,0.0,2004-08-04
Community Bancorp,0.708895376317805,41.375,53.0,43.0,51.0,20.0,17.0,100.0,19.0,17.0,64.0,48.0,33.0,58.0,68.0,49.0,0.0,0.0,15.0,0.0,30.0,2004-12-09
Community Healthcare Trust,0.09289373119187072,59.875,59.0,0.0,53.0,94.0,70.0,46.0,100.0,54.0,62.0,40.0,68.0,91.0,98.0,46.0,92.0,79.0,55.0,46.0,61.0,2015-02-21
Compellent,0.1053604045468326,11.5,6.0,10.0,8.0,5.0,14.0,7.0,14.0,24.0,10.0,100.0,8.0,13.0,23.0,24.0,17.0,6.0,9.0,9.0,11.0,2007-10-09
Complete Genomics,0.27329326667671694,33.375,36.0,38.0,44.0,20.0,7.0,34.0,16.0,62.0,46.0,100.0,49.0,10.0,47.0,25.0,32.0,18.0,29.0,44.0,21.0,2010-11-11
Complete Production Services,2.1628223810540432,27.25,0.0,24.0,0.0,24.0,0.0,0.0,23.0,47.0,100.0,72.0,69.0,49.0,0.0,45.0,23.0,0.0,0.0,0.0,23.0,2006-04-20
Comverge,0.8989988958937984,19.5,12.0,24.0,12.0,18.0,18.0,18.0,6.0,17.0,43.0,100.0,40.0,17.0,11.0,0.0,32.0,36.0,10.0,0.0,10.0,2007-04-12
Conatus Pharmaceuticals,1.4087665301036507,18.125,0.0,11.0,0.0,11.0,11.0,11.0,11.0,45.0,45.0,100.0,44.0,11.0,23.0,11.0,11.0,11.0,0.0,0.0,21.0,2013-07-25
Concert Pharmaceuticals,0.6021750089797422,22.0,0.0,11.0,12.0,0.0,11.0,61.0,30.0,30.0,21.0,100.0,81.0,30.0,10.0,41.0,50.0,10.0,30.0,30.0,11.0,2014-02-13
