General Information,Business,Industry,Employees,Founded,Contact Information,Address,Phone Number,Web Address,View Prospectus,Financial Information,Market Cap,Revenues,Net Income,IPO Profile,Symbol,Exchange,Shares (millions),Price range,Est. $ Volume,Manager / Joint Managers,CO-Managers,Expected To Trade,Status,Quiet Period Expiration Date,Lock-Up Period Expiration Date,SCOOP Rating,Rating Change,nan
General Information,"(Note: Healthcare Royalty, Inc. postponed its IPO indefinitely “due to market conditions” on Friday morning, Aug. 6, 2021, the day that the IPO was initially expected to start trading on the NASDAQ.) We are the leading mid-market royalty acquisition company, based upon the number of transactions and aggregate value of capital deployed since 2016. We focus on growth assets and emerging companies driving innovation in the biopharmaceutical industry. We consider “mid-market” to comprise royalty acquisitions for transaction sizes between $20 million and $250 million. Our founders have been pioneers in the healthcare royalty and debt financing markets since 2001, and formed HCR in 2006 to build on their leadership in collaborating with inventors, academic institutions, small and mid-cap biotechnology companies and leading global pharmaceutical companies. Our in-house scientific, regulatory and transactional capabilities differentiate us from other industry participants and are the basis for our reputation among potential partners as knowledgeable, creative and able to solve complex and potentially significant financing needs. We have purposefully built a diverse portfolio across the therapeutic spectrum, including blockbuster assets such as Shingrix, innovative growth products such as Krystexxa, and recently launched products such as Xpovio. *Note: Adjusted EBITDA was $436 million for the 12 months that ended March 31, 2021, according to financial statements in the prospectus. *Note: Net investment income was $215.18 million for the 12 months that ended March 31, 2021, according to the prospectus.",Royalty Purchases - Pharmaceutical Preparations,25,2006,Contact Information,"300 Atlantic St, Suite 600 Stamford, Connecticut 06901",(203) 487-8300,http://www.healthcareroyalty.com/,"Healthcare Royalty, Inc.",Financial Information,$3448.0mil,$ mil (last 12 months),$215.8 mil (last 12 months),IPO Profile,HCRX,NASDAQ,46.9,$15.00 - $17.00,$750.0 mil,Goldman Sachs/Citigroup/Credit Suisse/Jefferies/Cowen/SVB Leerink ​,Truist Securities/ BMO Capital Markets/ Stifel/Raymond James/Siebert Williams Shank/Cabrera Capital Markets LLC/Drexel Hamilton ​ ​,8/6/2021,Postponed,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: “Anchor investor ” refers to certain funds and accounts managed by BlackRock, Inc. who have expressed to us an interest to purchase an aggregate of $20,400,000 of units in this offering at the offering price.) We intend to focus on target companies in healthcare services and related industries in the United States. (Note: This SPAC IPO was upsized at pricing to 28.8 million units, up from 24 million units in the amended prospectus dated Dec. 11, 2020, and the deal was priced at $10 per unit. This deal initially was 30 million units.)",BLANK CHECKS,0,2020,Contact Information,"7809 Woodmont Avenue Suite 200 Bethesda, MD 20814",(301) 605-1309,,Healthcare Services Acquisition Corporation,Financial Information,$348.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCARU,NASDAQ,28.8,$10.00 - $10.00,$288.0 mil,B. Riley Securities,,12/23/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: Healthcare Triangle downsized its IPO at pricing on Oct. 12, 2021, to 3.3 million shares, down from 4.6 million in the prospectus, and priced the stock at $4 – the bottom of its $4-to-$5 price range – to raise $13 million. On Thursday, Oct. 7, 2021, Healthcare Triangle downsized its IPO to 4.6 million shares at $4 to $5 each, according to an S-1/A filing. On Sept. 27, 2021, the company had increased the IPO’s size to 9.18 million shares by adding 1.18 million shares from a selling stockholder. The deal’s original size was 8 million shares at $4.50 to $5.50.) We are a healthcare information technology company focused on advancing innovative industry-transforming solutions in the sectors of cloud services, data science, and professional and managed services for the healthcare and life sciences industry. The company has several Fortune 500 clients in the life sciences industries and works with many hospitals. Our approach leverages our proprietary technology platforms, extensive industry knowledge, and healthcare domain expertise to provide solutions and services that reinforce healthcare progress. Through our platform, solutions, and services, we support healthcare delivery organizations, healthcare insurance companies, pharmaceutical and Life Sciences, biotech companies, and medical device manufacturers in their efforts to improve data management, develop analytical insights into their operations, and deliver measurable clinical, financial, and operational improvements. We offer a comprehensive suite of software, solutions, platforms and services that enables some of the world’s leading healthcare and pharma organizations to deliver personalized healthcare, precision medicine, advances in drug discovery, development and efficacy, collaborative research and development, respond to real world evidence, and accelerate their digital transformation. We combine our expertise in the healthcare technology domain, cloud technologies, DevOps and automation, data engineering, advanced analytics, AI/ML, Internet of things (“IoT”), security, compliance, and governance to deliver platforms and solutions that drive improved results in the complex workflows of Life Sciences, biotech, healthcare providers, and payers. Our differentiated solutions, enabled by intellectual property platforms provide advanced analytics, data science applications, and data aggregation in a secure, compliant and cost-effective manner to our customers. Our approach reinforces healthcare progress through advanced technology, extensive industry knowledge, and domain expertise. Our deep expertise in healthcare allows us to reinforce our clients’ progress by accelerating their innovation. Our healthcare IT services include EHR and software implementation, optimization, extension to community partners, as well as application managed services , and backup and disaster recovery capabilities on public cloud. Our 24×7 managed services are used by hospitals and health systems, payers, life sciences and biotech organizations in their effort to improve health outcomes and deliver deeper, more meaningful patient and consumer experiences. Through our services, our customers achieve return on investment in their technology by delivering measurable improvements. Combined with our software and solutions, our services provide clients with an end-to-end partnership for their technology innovation.",SERVICES-COMPUTER INTEGRATED SYSTEMS DESIGN,69,2019,Contact Information,"4309 Hacienda Dr., Suite 150 Pleasanton, CA 94588",(925) 270-4812,https://www.healthcaretriangle.com/,Healthcare Triangle,Financial Information,$138.8mil,$34.36 mil (last 12 months),$1.5 mil (last 12 months),IPO Profile,HCTI,NASDAQ,3.3,$4.00 - $4.00,$13.0 mil,"EF Hutton (formerly Kingswood, a division of Benchmark Investments)",-,10/13/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"This is a Cayman Islands-incorporated blank-check company, or special-purpose acquisition company (SPAC), formed by HealthCor, an investment firm focused on healthcare funds since it was founded in 2005, and Catalio Capital Management, a private equity firm that invests in breakthrough biotech companies. HealthCor Catalio will search for targets in the life sciences and medical technology sectors. (Note: HealthCor Catalio priced an upsized IPO on Jan. 26, 2021, of 18 million Class A ordinary shares, up from 15 million shares, at $10 each – to raise $180 million. Most SPAC IPOs are unit offerings, but this one consisted of stock.)",BLANK CHECKS,0,2020,Contact Information,"55 Hudson Yards, 28th Floor New York, New York 10001",(212) 622-7800,,HealthCor Catalio Acquisition Corp.,Financial Information,$222.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCAQ,NASDAQ,18.0,$10.00 - $10.00,$180.0 mil,Jefferies,-,1/27/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"Healthwell Acquisition Corp. I is a newly incorporated blank check company, incorporated for the purpose of effecting a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. We have not selected any business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any business combination target. While we may pursue an initial business combination target in any industry or geographic location, we intend to focus our search for a target business operating in the broader technology-enabled healthcare industry.",BLANK CHECKS,0,2021,Contact Information,"1001 Green Bay Rd. #227, Winnetka, IL 60093, US",(847) 230-9162,,Healthwell Acquisition Corp. I,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HWELU,NASDAQ,25.0,$10.00 - $10.00,$250.0 mil,Jefferies,-,8/3/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: hear.com N.V. withdrew its IPO plans in an SEC filing dated March 16, 2022. The Dutch hearing aid company postponed its IPO just before noon EDT on May 13, 2021, citing the volatile U.S. stock market, just hours ahead of its scheduled IPO pricing after the market’s close.) At hear.com, we are on a mission to bring high quality hearing care to anyone, anywhere. Since our founding in 2012, we have grown rapidly to become the largest online provider of expert, medical-grade hearing care globally. We reimagined the hearing care delivery model and pioneered a digital platform that enables us to deliver a highly engaging, end-to-end customer experience, which we call our Hearing Success Program. We first meet our consumers online before engaging with them telephonically to provide individualized advice on hearing care. Once the consumer decides to continue with hearing tests and fittings, we meet them locally through our global network of over 5,000 handpicked clinic locations, which we refer to as our partner providers, or remotely through our proprietary Clinic-in-a-Box (our tele-audiology solution). Hearing loss is a widespread and underserved problem. In 2018, the World Health Organization (WHO) estimated that 466 million people worldwide suffered from disabling hearing loss. (Note: Revenue and net loss figures are in U.S. dollars, converted from euros, for the FY ended Sept. 30, 2020.)",Services - Misc. Healthcare & Allied Services,1388,2012,Contact Information,"Amsterdamsestraatweg 421 3551 CL Utrecht, the Netherlands",+31 55 80 80 140,http://www.hear.com/,hear.com N.V.,Financial Information,$2051.65mil,$181.36 mil (last 12 months),$-27.74 mil (last 12 months),IPO Profile,HCG,NASDAQ,16.2,$17.00 - $20.00,$300.1 mil,Morgan Stanley/ J.P. Morgan/ Deutsche Bank Securities/ Goldman Sachs,BofA Securities/ William Blair/ Truist Securities,5/14/2021,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is an IPO of units of securities of HeartBeam, Inc. Each unit consists of (a) one share of our common stock and (b) one warrant to buy one share of our common stock. The shares of our Common Stock and the Warrants are immediately separable and will be issued separately but will be purchased together in this offering. We anticipate that the initial public offering price per Unit will be between $5.50 and $6.50 per Unit. The proposed symbols are “BEAT” for the common stock and “BEATW” for the warrant. Both the stock and the warrants will trade on the NASDAQ.) We are a medical technology company primarily focusing on telemedicine solutions that enable the detection and monitoring of cardiac disease outside a healthcare facility setting. Our aim is to deliver innovative, remote diagnostic and monitoring technologies that can be used for patients anywhere, with initial offerings for ambulatory and emergency room use. Our products require FDA clearance and have not been cleared for marketing. We believe our products and services will benefit many stakeholders, including patients, healthcare providers, and healthcare payors. Our initial focus is providing diagnostic data to help physicians with care management of patients with cardiovascular disease. There are two major markets for our initial products: remote patient monitoring and the hospital Emergency Room (ER). First, we are developing our telehealth product to address the rapidly growing field of remote patient monitoring. Our telehealth product is comprised of a credit card-sized ECG machine and a powerful cloud-based diagnostic software expert system. We believe that we are uniquely positioned to play a central role in remote monitoring of high-risk coronary artery disease patients, because the studies performed so far have shown that our ischemia detection system is highly accurate. Our powerful ischemia detection system is unlike other ambulatory cardiac monitors currently on the market which focus on arrhythmia detection. Secondly, we are applying our platform technology to create a software tool for detecting heart attacks in the ER environment. This software tool is designed to enable emergency physicians to more accurately and quickly diagnose heart attacks than currently available. Market release of this Product will precede that of the telehealth Product. To date, we have developed working prototypes for both our telehealth product and our ER product. The ER Product is currently undergoing additional engineering work that we believe will make it ready for FDA 510(k) clearance submission. Our focus over next 18 months will be on getting FDA clearances for both of our products and introducing our first Products to the market. We are partnering with Ximedica, a leading medical device design and manufacturing firm, to finalize the development of our initial products to meet all FDA requirements for the 510(k) submission. (Note: HeartBeam priced its IPO on Nov. 10, 2021, at $6 – the mid-point of its $5.50-to-$6.50 price range – on 2.75 million units, the same number of units in the prospectus, to raise $16.5 million.)",Biotech - Cardiac monitoring hardware & software,7,2015,Contact Information,"2118 Walsh Avenue, Suite 210 Santa Clara, CA 95050",408-899-4443,,"HeartBeam, Inc.",Financial Information,$46.5mil,$0 mil (last 12 months),$-1.82 mil (last 12 months),IPO Profile,BEAT,NASDAQ,2.8,$6.00 - $6.00,$16.5 mil,The Benchmark Company,-,11/11/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a leading software development company based in Tokyo, Japan. We provide software through two business units. The first business unit includes a customer experience management business that has been in existence for 12 years. Our customer experience management platform (the “CXM Platform”) includes marketing, sales, service and content management systems, as well as other tools and integrations, that enable companies to attract and engage customers throughout the customer experience. We also provide education, services and support to help customers be successful with our CXM Platform. The second business unit is a digital transformation business which provides customers with robotics process automation, process mining and task mining to accelerate the digital transformation of enterprises. We also have an ongoing technology innovation team to develop software that supports the narrow needs of large enterprise customers. We have a large and diversified customer base. No customer or channel partner accounted for more than 10% of our revenue for the year ended Dec. 31, 2020, or nine months ended Sept. 30, 2021. As of Sept. 30, 2021, our combined business units (customer experience management business unit and digital transformation business unit) had 819 total customers of varying sizes, including Sony, Panasonic, Bridgestone, Toyota and Honda. (Note: HeartCore Enterprises priced its IPO on Feb. 9, 2022, at $5 – the mid-point of its $4- to-$6 price range, which had been cut recently from its initial level of $5 to $7 on 2.5 million shares. HeartCore priced 3.0 million shares, the number in the amended prospectus, at $5 on Wednesday night (Feb. 9) to raise $15.0 million.)",COMPUTER PROCESSING & DATA PREPARATION,14,2009,Contact Information,"1-2-33, Higashigotanda, Shinagawa-ku Tokyo, Japan",+81-3-6409-6966,http://www.heartcore.co.jp/,"HEARTCORE ENTERPRISES, INC.",Financial Information,$94.6mil,$10.82 mil (last 12 months),$0.66 mil (last 12 months),IPO Profile,HTCR,NASDAQ,3.0,$5.00 - $5.00,$15.0 mil,Boustead Securities,-,2/10/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on the media, entertainment and sports sectors. Our management team and Board of Directors (our “Board”) has had significant success sourcing, acquiring, growing and monetizing companies across these sectors. We have particular expertise in television broadcasting, and in local media generally. We believe this experience makes us well suited to identify, source, negotiate and execute an initial business combination with the ultimate goal of pursuing attractive risk-adjusted returns for our stakeholders. Mr. Robert S. Prather Jr., CEO, has extensive experience in the media, entertainment and sports industry. He is the former CEO of Gray Television, which focused on acquiring No. 1-ranked TV stations in college towns and state capitals. Following his tenure at Gray, Mr. Prather formed Heartland Media LLC in 2013. He partnered with MSouth Equity Partners to help grow the business. Under Mr. Prather’s leadership, Heartland Media acquired its first television station in 2013, and from 2014 to 2017, it acquired 10 additional television stations for total consideration of $220 million. Mr. Prather led the sale of 11 television stations by Heartland Media in February 2020 for $305 million cash. (Note: Heartland Media Acquisition Corp. priced its downsized SPAC IPO on Jan. 20, 2022, in line with the terms in its amended prospectus: 17.5 million units at $10 each to raise $175 million. Heartland Media Acquisition had cut its SPAC IPO’s size to 17.5 million units, down from 20 million units initially, in an S-1/A filing dated Jan. 18, 2022. The deal’s size was cut by about 13 percent.)",BLANK CHECKS,0,2021,Contact Information,"3282 Northside Pkwy Suite 275 Atlanta, GA 30327",(470) 355-1944,,Heartland Media Acquisition Corp.,Financial Information,$225.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HMA.U,NYSE,17.5,$10.00 - $10.00,$175.0 mil,BofA Securities/ Moelis & Co.,-,1/21/2022,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: “This is an initial public offering of our Class A ordinary shares, par value $0.0001 per share, which we refer to as our public shares, at an initial public offering price of $10.00. Unlike certain other special purpose acquisition company initial public offerings (“SPAC IPOs”), investors in this offering will not receive warrants that would become exercisable following completion of our initial business combination.”) We intend to focus on healthcare or healthcare related industries, which can benefit from the expertise and capabilities of our management team in order to create long-term shareholder value. Our sponsor is an affiliate of Cormorant Asset Management, LP (“Cormorant”), a leading life sciences focused investment firm with over $2 billion in assets under management as of June 30, 2020. Our Chairman and Chief Executive Officer Bihua Chen founded Cormorant, and our Chief Financial Officer Jay Scollins is the Chief Financial Officer and Chief Operating Officer of Cormorant. Since its inception in 2013, Cormorant has focused exclusively on the healthcare industry and invests, throughout their growth cycle, in companies that discover and develop therapeutic drugs or medical technology. Cormorant primarily focuses on financing rounds taking place prior to initial public offerings known as “crossovers.” Cormorant is among the most active life-science crossover investors in terms of number of investments since 2015 with investments in over 100 privately held, life science-focused companies over this period. Of these investments, over 50 have completed initial public offerings. Notable successes include Principia Biopharma Inc., Turning Point Therapeutics Inc., Myokardia Inc., BridgeBio Pharma Inc., Forma Therapeutics Holdings Inc. and Apellis Pharmaceuticals Inc., each of which is a public company with a market capitalization greater than $1 billion.",BLANK CHECKS,0,2020,Contact Information,"200 Clarendon Street, 52nd Floor Boston, MA 02116",+1 (857) 702-0370,,HELIX ACQUISITION CORP.,Financial Information,$129.0mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HLXA,NASDAQ,10.0,$10.00 - $10.00,$100.0 mil,Jefferies,,10/20/2020,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are focused on Disrupting Tobacco™ by manufacturing and selling nicotine-free and tobacco-free alternatives to traditional cigarettes. We utilize a proprietary, patented spraying technology for terpene infusion and patent-pending flavored filter infusion technology to manufacture hemp and herb-based smokable alternatives. We have conducted research and development in the smokables space and are engaged in the manufacturing and sale of smokable hemp and herb products, including The Real Stuff™ Hemp Smokables. Our operational segments include private label manufacturing and sales, intellectual property licensing, and the development and sales of inhouse brands using patented counter displays. Our inhouse brands are currently sold in over 200 retail locations located in the San Diego, California, area, our private label customers include well-known and established companies in the cannabis and tobacco-alternatives industries, and we currently own approximately 600 kiosk vending machines which we plan to refurbish and use to distribute our products in a wider fashion under our HempBox Vending brand. Our hemp cigarette production facility, located in San Diego, California, has the capacity to produce up to 30 million cigarettes monthly. From our facility, we can ship small-to-large quantities of product—from single displays of product to targeted retail locations to truckloads of product to private label customers—with in-house processing, packing, and shipping capabilities. We believe that our manufacturing technologies will be a critical component of our success. We plan to continue to invest in research and development, and we currently have one approved patent and one patent pending with respect to our critical manufacturing processes. Our approved patent is an exclusivity patent to spray hemp with terpenes for flavoring or to add cannabidiol, which we refer to as CBD, or cannabigerol, which we refer to as CBG, and our pending patent relates to our flavored filter infusion technology. We also have several ready-to-file patent applications with respect to hemp manufacturing, hemp processing, design patents for hemp machines and merchandisers, and customized manufacturing equipment. We believe that we are positioned to rapidly grow our customer and product footprint through increasing marketing efforts, reaching agreements with master distributors who will sell to a broad network of retail establishments, and aggressively targeting additional distributors throughout the United States. We plan to drive and increase customer traffic with internet marketing to or with the clients that carry our products. We have also entered into several joint ventures to launch multiple new smokables brands: Cali Vibes D8, a joint venture focused on Delta 8 smokable products; Hemp Hop Smokables, a joint venture with rapper Rick Ross and Rap Snack’s CEO James Lindsay; a joint venture with StickIt Ltd., an Israeli corporation, to manufacture cannabinoid sticks for insertion into other cigarettes; and a joint venture to launch Cheech & Chong-branded hemp smokables. We have launched a brand of flavored hemp rolling papers, and we also private label manufacture hemp rolling papers for third parties. We are currently manufacturing hemp rolling papers for HBI International, one of the leading smoking paper producers in the world, and we recently received our largest purchase order to date for approximately $9.2 million from HBI International’s Skunk and Juicy brand to manufacture hemp rolling papers for it.",Cigarettes,12,2019,Contact Information,"9925 Airway Road, San Diego, CA, 92154",(619) 779-0715,,"Hempacco Co., Inc.",Financial Information,,$1.19 mil (last 12 months),$-1.87 mil (last 12 months),IPO Profile,HPCO,NASDAQ,0.0,$0.00 - $0.00,$17.3 mil,"Boustead Securities, LLC",-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are an insurance agency company operating in China. (Incorporated in the Cayman Islands) We derive our revenue primarily from commissions and fees paid by insurance companies, typically calculated as a percentage of premiums paid by customers to the insurance companies that we represent. As of the date of this prospectus, we have relationships with over 70 insurance companies in the People’s Republic of China (PRC) and are able to offer a variety of insurance products to our customers, such as automobile insurance, casualty and accident insurance, construction and engineering insurance, liability insurance, property insurance, health insurance and life insurance. We help consumers select the right insurance to purchase but represent the insurance companies in the transactions. For the year ended Dec. 31, 2020, 70.61% of our total revenue was attributed to our top five insurance company partners. As of the date of this prospectus, we had 52 locations (branch offices) throughout China to sell the insurance products. A large component of our cost of revenues is commissions paid to our individual sales agents. Our business is conducted by Heng Guang Insurance, our VIE entity in the PRC, and its subsidiaries and branch offices, using Chinese dollars (the “RMB”), the legal currency of China. Our consolidated financial statements are presented in United States dollars. These dollar references are based on the exchange rate of RMB to United States dollars, determined as of a specific date or for a specific period. **Note: Revenue and net income figures are in U.S. dollars for the 12-month period that ended June 30, 2021.",Insurance,99,2004,Contact Information,"1666 Chenglong Road, Section 2, Building 2, 5th Floor Longquanyi District, Chengdu, Sichuan Province, China 61000",+86 (400) 028-1990,http://www.hgbaoxian.cn/,"Hengguang Holding Co., Limited",Financial Information,$64.98mil,$19.66 mil (last 12 months),$-0.21 mil (last 12 months),IPO Profile,HGIA,NASDAQ,4.4,$4.00 - $5.00,$20.0 mil,Network 1 Financial Securities,-,,TBA,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a newly organized blank check company incorporated in August 2018 as a Delaware corporation and formed for the purpose of effecting a merger, capital stock exchange, asset acquisition, stock purchase, reorganization or similar business combination with one or more businesses, which we refer to throughout this prospectus as our initial business combination. We have not selected any specific business combination target and we have not, nor has anyone on our behalf, initiated any substantive discussions, directly or indirectly, with any business combination target.",BLANK CHECKS,0,2018,Contact Information,"3485 N. Pines Way, Suite 110 Wilson, WY 83014, US",(307) 734-4849,,Hennessy Capital Acquisition Corp IV,Financial Information,$315mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCACU,NASDAQ,26.1,$10.00 - $10.00,$261.0 mil,Nomura/ Stifel,I-Bankers Securities,3/1/2019,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus on industries that complement our management team’s background, and to capitalize on the ability of our management team to identify and acquire a business, focusing on sustainable industrial technology and infrastructure sectors in the United States (which may include a business based in the United States which has operations or opportunities outside of the United States). We will seek to acquire one or more businesses with an aggregate enterprise value of $1 billion or greater.",BLANK CHECKS,0,2020,Contact Information,"3415 N. Pines Way, Suite 204 Wilson, Wyoming 83014, US",(307) 201-1903,,Hennessy Capital Investment Corp. V,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCICU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Citigroup/ Barclays,-,1/15/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We intend to focus our search for a target business in the industrial technology sector with an enterprise value of $1 billion or more. Note: Anchor investors have indicated interest in buying units in aggregate amounts that account for most of the deal. **As the name indicates, this is the sixth blank-check company or SPAC backed by Hennessy Capital. (Background: In May 2021, Hennessy Capital Investment Corp. V (NASDAQ: HCIC) and Plus entered into a definitive business combination agreement to accelerate the commercialization and global deployment of Plus’s cutting-edge autonomous trucking technology solution. Upon closing, Plus will be a publicly traded company and its common stock is expected to trade on the NYSE under the ticker symbol “PLAV”. Plus is a global provider of self-driving truck technology that makes trucks safer, more efficient, more comfortable, and better for our environment.) (Note: Hennessy Capital Investment Corp. VI priced its upsized SPAC IPO on Sept. 28, 2021, in line with the terms in its prospectus: 30 million units at $10 each to raise $300 million. Hennessy Capital Investment Corp. VI had increased the size of its SPAC IPO to 30 million units, up from 20 million units initially, at $10 each in an S-1/A filing dated Sept. 3, 2021.)",BLANK CHECKS,0,2021,Contact Information,"3415 N. Pines Way, Suite 204 Wilson, Wyoming 83014",(307) 201-1903,,Hennessy Capital Investment Corp. VI,Financial Information,$312.5mil,$0 mil (last 12 months),$0 mil (last 12 months),IPO Profile,HCVIU,NASDAQ,30.0,$10.00 - $10.00,$300.0 mil,Barclays/ Citigroup,-,9/29/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: This is NOT an IPO. This is a NASDAQ uplift offering from the OTC Bulletin Board, where Hertz shares trade under the symbol “HTZZ” and the last reported sale price on Nov. 2, 2021, was $35.06. Selling stockholders are selling 37.1 million shares of Hertz in this offering. The company, which emerged from bankruptcy protection in June 2021, will not receive any of the proceeds from this offering. Hertz calls this NASDAQ uplift offering its “Re-IPO.”) We operate our vehicle rental business globally primarily through the Hertz, Dollar and Thrifty brands from company-owned, licensee and franchisee locations in the United States (“U.S.”), Africa, Asia, Australia, Canada, the Caribbean, Europe, Latin America, the Middle East and New Zealand. We also sell vehicles through Hertz Car Sales and operate the Firefly vehicle rental brand and the Hertz 24/7 car sharing business in international markets. We offer multiple brands in order to provide customers a full range of rental services at different price points, levels of service, offerings and products. Each of our brands generally maintains separate airport counters, reservations, marketing and other customer contact activities. We achieve synergies across our brands by, among other things, utilizing a single fleet and fleet management team and combined vehicle maintenance, vehicle cleaning and back office functions, where applicable. Our top-tier brand, Hertz, is one of the most recognized brands in the world, offering premium services that define the industry. This is consistent with numerous published best-in-class vehicle rental awards that we have won both in the U.S. and internationally over many years, including our ranking in 2019 and 2020 of #1 in Customer Satisfaction by J.D. Power. Our go-to-market communications showcase our promise and reputation for quality and customer service. We have a number of innovative offerings, such as Hertz Gold Plus Rewards, Hertz Ultimate Choice and unique vehicles offered through our specialty collections. We continue to maintain our position as a premier provider of vehicle rental services through an intense focus on service, loyalty, quality and product innovation. (Note: Hertz Global upsized its NASDAQ uplift offering (a secondary offering) on Nov. 8, 2021, to 44.52 million shares, up from 37.1 million shares in the prospectus, and priced the IPO at $29 – the top of its $25-to-$29 range – to raise $1291.08 million – or $1.29 billion.)",Car rental,,1967,Contact Information,"8501 Williams Road Estero, Florida 33928",(239) 301-7000,http://www.hertz.com/,"HERTZ GLOBAL HOLDINGS, INC.",Financial Information,$12783.69mil,$6.62 mil (last 12 months),$0.34 mil (last 12 months),IPO Profile,HTZ,NASDAQ,44.5,$29.00 - $29.00,$1291.1 mil,Goldman Sachs/ J.P. Morgan/ Morgan Stanley/ Barclays/ Deutsche Bank Securities,Guggenheim Securities,11/9/2021,Priced,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"(Note: Hexion Holdings Corp. withdrew its IPO prospectus in an SEC filing dated March 17, 2022. American Securities, a New York-based private equity firm, bought Hexion for $30 per share in cash, in a transaction expected to be completed during the first half of 2022, according to Hexion’s announcement on Dec. 20, 2021. Hexion filed the S-1 for its IPO in late September 2021 with no terms and estimated proceeds of $100 million.) We are a leading global producer of adhesives and performance materials that enable the production of engineered wood products, one of the world’s most sustainable building products and other growing specialty materials. We enable carbon sequestration within the building products value chain and increase the efficiency in the lumber industry to allow the use of 97% of the tree with our products. We have27 manufacturing plants globally and about 1,300 employees. We serve highly diversified growing end-markets such as residential and non-residential construction, energy, automotive and agriculture. Our products include a broad range of critical components and formulations used to impart valuable performance characteristics such as durability, gloss, heat resistance, adhesion and strength to our customers’ and their customers’ final products. As such, our products sold to our customers are highly value-added contributions to their final work product, even though they often represent only a small portion of the overall end-product cost of adhesives and coating resins. Note: As of June 30, 2021: outstanding debt totaled about $1.61 billion, according to the prospectus.",Adhesives and performance materials,1300,1899,Contact Information,"180 East Broad Street Columbus, Ohio 43215",(614) 225-4000,http://www.hexion.com/,Hexion Holdings Corp.,Financial Information,,$2893.0 mil (last 12 months),$-9.0 mil (last 12 months),IPO Profile,HXN,NYSE,0.0,$0.00 - $0.00,$100.0 mil,Morgan Stanley,-,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
General Information,"We are a rapidly growing online peer-to-peer lending marketplace facilitating loans between borrowers and investors, providing borrowers accessible, affordable credit and offering investors attractive risk-adjusted returns.",FINANCE SERVICES,327,2015,Contact Information,"Block A, Room 503, Dachong Business Center, Hi-Tech Park, Nanshan District, Shenzhen, Guangdong Province, China 518000",+86 755-86535407,http://www.hzed.com,HeZhong International (Holding) Ltd.,Financial Information,$55.7mil,$34.4 mil (last 12 months),$4.3 mil (last 12 months),IPO Profile,HZ,NASDAQ,1.3,$4.00 - $4.00,$5.0 mil,TBA,-,,Withdrawn,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,Available only to Subscribers,
